Track #0, length 10
 47352371 (1494) module 45, x -16.3475, y -30.925, z 616.531
 45224562 (1439) module 43, x -12.8825, y -24.325, z 497.982
 43103653 (1377) module 41, x -10.05, y -19.0725, z 402.473
 40986831 (1314) module 39, x -7.7675, y -14.8375, z 325.525
 38873840 (1260) module 37, x -5.9525, y -11.4275, z 263.531
 36770301 (1197) module 35, x -5.2375, y -10.0525, z 238.531
 36371379 (1149) module 34, x -4.8525, y -9.3075, z 225.469
 34270924 (1092) module 32, x -4.1375, y -7.9325, z 200.469
 32170469 (1034) module 30, x -3.4225, y -6.5575, z 175.469
 30070014 (961) module 28, x -2.7075, y -5.1825, z 150.469

Track #45, length 5
 52710045 (1641) module 50, x 24.4875, y 34.235, z 738.469
 50624699 (1587) module 48, x 22.8375, y 31.705, z 693.469
 48539863 (1532) module 46, x 21.2975, y 29.0925, z 648.469
 44156997 (1418) module 42, x 15.3575, y 20.1175, z 485.982
 42035844 (1348) module 40, x 11.865, y 14.9475, z 390.473

Track #46, length 10
 50789921 (1591) module 48, x 31.3075, y -4.0175, z 693.469
 48691273 (1536) module 46, x 29.1075, y -3.715, z 648.469
 46592881 (1484) module 44, x  26.88, y  -3.44, z 603.469
 44492764 (1425) module 42, x 21.0225, y -2.7525, z 484.921
 41956403 (1356) module 40, x 16.3475, y -2.2125, z 390.473
 39861368 (1288) module 38, x 12.525, y -1.7725, z 313.525
 37766065 (1228) module 36, x 9.4175, y  -1.36, z 251.531
 35669704 (1163) module 34, x 8.1525, y -1.2225, z 226.531
 33573342 (1102) module 32, x  6.915, y -1.0575, z 201.531
 31476982 (1040) module 30, x  5.595, y -0.8925, z 176.531

Track #47, length 8
 50753044 (1592) module 48, x 32.0225, y 3.9025, z 693.469
 48657475 (1537) module 46, x 29.4375, y 3.5725, z 648.469
 46561905 (1485) module 44, x 26.9075, y 3.2425, z 603.469
 44469225 (1424) module 42, x  20.28, y 2.3075, z 484.921
 41974091 (1353) module 40, x     15, y 1.5825, z 390.473
 39874456 (1286) module 38, x 10.765, y 1.0325, z 313.525
 37775573 (1223) module 36, x   7.41, y 0.6475, z 251.531
 35677678 (1158) module 34, x 6.0625, y 0.4825, z 226.531

Track #48, length 9
 48508791 (1535) module 46, x 26.5775, y  35.72, z 648.469
 46423192 (1483) module 44, x 24.7625, y 33.245, z 603.469
 44356849 (1423) module 42, x 19.8675, y 26.645, z 484.921
 42065464 (1355) module 40, x 16.045, y 21.3275, z 390.473
 39947889 (1290) module 38, x 12.9008, y 16.9642, z 313.525
 37834656 (1231) module 36, x 10.3525, y 13.4625, z 251.531
 35731122 (1165) module 34, x  9.335, y 12.0875, z 226.531
 33627845 (1104) module 32, x   8.29, y 10.7675, z 201.531
 31524569 (1045) module 30, x 7.2175, y 9.4475, z 176.531

Track #49, length 9
 45917967 (1451) module 43, x -4.1125, y 32.2975, z 497.982
 43816846 (1388) module 41, x -3.2325, y 25.3125, z 402.473
 41716467 (1323) module 39, x -2.5175, y  19.73, z 325.525
 39485513 (1264) module 37, x -1.9125, y 15.1375, z 262.469
 37389418 (1201) module 35, x -1.6925, y 13.3225, z 237.469
 35293323 (1139) module 33, x -1.4725, y  11.48, z 212.469
 33197229 (1082) module 31, x -1.2525, y 9.6375, z 187.469
 31101134 (1023) module 29, x -1.005, y 7.8225, z 162.469
 29005295 (949) module 27, x -0.7575, y 6.0075, z 137.469

Track #50, length 11
 45887791 (1454) module 43, x 2.3775, y  30.51, z 497.982
 43793814 (1393) module 41, x 1.7175, y 24.845, z 402.473
 41698796 (1327) module 39, x 1.2775, y 20.1425, z 325.525
 39499058 (1266) module 37, x 1.0025, y 16.375, z 262.469
 37401422 (1203) module 35, x 0.892498, y 14.8625, z 237.469
