Track #0, length 12
 31091443 (1819) module 29, x -3.1225, y 5.7875, z 162.469

Track #31, length 7
 54110967 (3374) module 51, x -13.7925, y 5.5675, z 750.469
 52017917 (3260) module 49, x -12.9125, y 5.2375, z 705.469
 49283968 (3140) module 47, x -12.085, y 4.9075, z 661.531
 47188368 (3016) module 45, x -11.2325, y 4.5775, z 616.531
 45095354 (2887) module 43, x -8.9225, y 3.6975, z 497.982
 43001820 (2750) module 41, x -7.0525, y 2.9275, z 402.473
 40907767 (2607) module 39, x -5.5675, y 2.2675, z 325.525

Track #32, length 10
 54345213 (3377) module 51, x -12.4725, y 19.2075, z 751.531
 52023061 (3266) module 49, x -11.73, y 17.9975, z 705.469
 49929258 (3142) module 47, x -11.015, y 16.8425, z 660.469
 47835455 (3017) module 45, x  -10.3, y 15.6875, z 615.469
 45746806 (2888) module 43, x -8.4025, y 12.635, z 496.921
 43657123 (2751) module 41, x -6.8075, y 10.1875, z 401.411
 41565895 (2608) module 39, x -5.5425, y   8.18, z 324.463
 39473636 (2459) module 37, x  -4.47, y 6.6125, z 262.469
 37378544 (2301) module 35, x -4.0575, y 5.9525, z 237.469
 35283452 (2138) module 33, x  -3.59, y 5.2925, z 212.469

Track #33, length 6
 53547663 (3382) module 51, x -11.2875, y -10.135, z 751.531
 51447708 (3269) module 49, x -10.5725, y -9.5025, z 706.531
 49348009 (3147) module 47, x -9.8575, y  -8.87, z 661.531
 47248054 (3021) module 45, x -9.1425, y -8.2375, z 616.531
 45143000 (2891) module 43, x -7.2725, y  -6.56, z 497.982
 43039731 (2755) module 41, x -5.7875, y -5.2125, z 402.473

Track #34, length 6
 53537181 (3383) module 51, x -10.49, y -7.7425, z 751.531
 51437484 (3272) module 49, x -9.6925, y -7.1925, z 706.531
 49338296 (3149) module 47, x -9.0325, y -6.7525, z 661.531
 47238851 (3024) module 45, x   -8.4, y -6.2575, z 616.531
 45136097 (2893) module 43, x -6.7775, y -5.0475, z 497.982
 43034361 (2757) module 41, x  -5.43, y -4.0575, z 402.473

Track #35, length 6
 54128362 (3385) module 51, x -10.0525, y 6.2825, z 750.469
 52034290 (3274) module 49, x -9.3925, y 5.8425, z 705.469
 49939705 (3150) module 47, x -8.7325, y 5.4575, z 660.469
 47186120 (3025) module 45, x -8.125, y 5.0725, z 616.531
 45093863 (2895) module 43, x -6.4475, y 4.0275, z 497.982
 43000319 (2759) module 41, x -5.1275, y   3.23, z 402.473

Track #36, length 5
 54132674 (3387) module 51, x  -9.09, y 8.4825, z 750.469
 52037836 (3278) module 49, x -8.5125, y 7.9325, z 705.469
 49943509 (3153) module 47, x -7.9075, y   7.41, z 660.469
 47848927 (3028) module 45, x -7.3575, y 6.8875, z 615.469
 45758712 (2899) module 43, x -5.8725, y  5.485, z 496.921

