Track #0, length 4
 53900796 (3398) module 51, x -19.2625, y -3.5175, z 750.469
 51419408 (3294) module 49, x -18.2725, y -3.3425, z 706.531
 49321506 (3182) module 47, x -17.2825, y -3.1775, z 661.531
 47223348 (3071) module 45, x -16.2925, y -2.985, z 616.531
 45124196 (2962) module 43, x -13.6525, y -2.5175, z 497.982
 43025546 (2846) module 41, x -11.5625, y -2.1875, z 402.473
 40926888 (2730) module 39, x -9.9125, y -1.8575, z 325.525
 38828481 (2612) module 37, x -8.5375, y  -1.61, z 263.531
 36730827 (2495) module 35, x -7.9875, y   -1.5, z 238.531
 34633173 (2371) module 33, x -7.4375, y  -1.39, z 213.531
 32535775 (2232) module 31, x -6.8875, y -1.3075, z 188.531
 30438120 (2103) module 29, x -6.365, y -1.1975, z 163.531
 28340466 (1973) module 27, x -5.815, y -1.0875, z 138.531
 26242812 (1832) module 25, x -5.2925, y -0.9775, z 113.531

Track #37, length 9
 53550135 (3402) module 51, x -16.1275, y -10.6575, z 751.531
 51449928 (3300) module 49, x -15.1925, y -9.9975, z 706.531
 49349721 (3186) module 47, x -14.2575, y -9.3375, z 661.531
 47250026 (3075) module 45, x -13.3225, y -8.6775, z 616.531
 45144727 (2967) module 43, x -10.82, y -6.9175, z 497.982
 43041468 (2851) module 41, x -8.8125, y -5.5975, z 402.473
 40939482 (2735) module 39, x -7.1625, y -4.5525, z 325.525
 38838514 (2618) module 37, x -5.8425, y -3.7275, z 263.531
 36739836 (2502) module 35, x -5.2925, y -3.3975, z 238.531

Track #38, length 7
 53489793 (3410) module 51, x -12.0575, y  2.405, z 751.531
 51393421 (3306) module 49, x -11.3975, y 2.2675, z 706.531
 49296793 (3192) module 47, x -10.7375, y 2.1575, z 661.531
 47200420 (3081) module 45, x -10.1325, y 1.9925, z 616.531
 45104835 (2973) module 43, x   -8.4, y 1.6625, z 497.982
 43008988 (2857) module 41, x -7.025, y 1.3875, z 402.473
 40912880 (2741) module 39, x -5.925, y 1.1675, z 325.525

Track #39, length 6
 53486491 (3417) module 51, x -10.6275, y   3.12, z 751.531
 51390374 (3311) module 49, x -10.0225, y 2.9275, z 706.531
 49294001 (3197) module 47, x  -9.39, y 2.7625, z 661.531
 47197885 (3086) module 45, x -8.7575, y 2.5425, z 616.531
 45102811 (2979) module 43, x -7.1075, y  2.075, z 497.982
 43007731 (2865) module 41, x -5.7875, y 1.6625, z 402.473

Track #40, length 7
 53499566 (3420) module 51, x -9.5825, y 0.3425, z 751.531
 51402421 (3313) module 49, x  -9.17, y 0.3425, z 706.531
 49305533 (3199) module 47, x -8.7575, y 0.2875, z 661.531
 47208389 (3088) module 45, x -8.3175, y 0.2875, z 616.531
 45111259 (2978) module 43, x -7.1075, y   0.26, z 497.982
 43014381 (2861) module 41, x  -6.09, y 0.2325, z 402.473
 40917243 (2744) module 39, x  -5.32, y 0.2325, z 325.525

Track #41, length 7
 53498031 (3424) module 51, x   -9.5, y 0.6725, z 751.531
 51401657 (3317) module 49, x -8.9775, y 0.5075, z 706.531
 49305024 (3201) module 47, x -8.5925, y 0.3975, z 661.531
 47208392 (3090) module 45, x -8.1525, y 0.2875, z 616.531
 45111261 (2980) module 43, x -6.9975, y   0.26, z 497.982
 43014381 (2861) module 41, x  -6.09, y 0.2325, z 402.473
 40917243 (2744) module 39, x  -5.32, y 0.2325, z 325.525

Track #42, length 13
 53627328 (3427) module 51, x -8.5925, y -27.3225, z 751.531
 51523017 (3319) module 49, x -8.0975, y -25.7825, z 706.531
 49418450 (3206) module 47, x -7.6025, y -24.1875, z 661.531
 47314395 (3095) module 45, x -7.1075, y -22.62, z 616.531
 45197811 (2985) module 43, x -5.7875, y -18.44, z 497.982
 42661714 (2762) module 40, x -4.6325, y -14.6425, z 389.411
 40560515 (2639) module 38, x -3.7525, y -11.9475, z 312.463
 38460331 (2524) module 36, x -3.0925, y -9.7475, z 250.469
 36361915 (2400) module 34, x -2.8175, y -8.8675, z 225.469
 34263499 (2265) module 32, x -2.5425, y -7.9875, z 200.469
 32165083 (2127) module 30, x -2.2675, y -7.1075, z 175.469
 30066667 (1995) module 28, x -1.9925, y -6.2275, z 150.469
