Track #0, length 13
Track #27, length 4
 53508579 (1902) module 51, x -6.6675, y -1.5825, z 751.531
 51410922 (1819) module 49, x -6.2825, y -1.4725, z 706.531
 49313266 (1747) module 47, x -5.8425, y -1.3625, z 661.531
 47215865 (1676) module 45, x -5.4575, y -1.3075, z 616.531

Track #28, length 8
 54304764 (1911) module 51, x -3.6725, y 19.2625, z 751.531
 52061462 (1823) module 49, x -3.3975, y 17.9425, z 705.469
 49965356 (1750) module 47, x -3.1775, y 16.705, z 660.469
 47869251 (1677) module 45, x  -2.93, y 15.4675, z 615.469
 45775231 (1606) module 43, x -2.2975, y 12.1675, z 496.921
 43680431 (1534) module 41, x -1.8025, y    9.5, z 401.411
 41585366 (1458) module 39, x -1.3625, y  7.355, z 324.463
 39489782 (1379) module 37, x -1.0325, y 5.6225, z 262.469

Track #29, length 5
 54158529 (1912) module 51, x -3.425, y 8.5375, z 750.469
 52062409 (1824) module 49, x -3.2325, y 8.0975, z 705.469
 49966033 (1751) module 47, x -3.0675, y 7.6575, z 660.469
 47869657 (1678) module 45, x -2.9025, y 7.2175, z 615.469
 45774831 (1605) module 43, x -2.4075, y 6.0075, z 496.921

Track #30, length 10
 54299360 (1913) module 51, x -2.545, y 20.8025, z 751.531
 52201719 (1825) module 49, x -2.4075, y 19.5375, z 706.531
 49969680 (1752) module 47, x -2.2425, y 18.2725, z 660.469
 47873319 (1679) module 45, x -2.0775, y 17.0075, z 615.469
 45778020 (1607) module 43, x -1.6925, y 13.6525, z 496.921
 43682453 (1535) module 41, x -1.3625, y 10.9575, z 401.411
 41586620 (1459) module 39, x -1.0875, y 8.8125, z 324.463
 39490523 (1380) module 37, x -0.8675, y   7.08, z 262.469
 37393896 (1302) module 35, x -0.7575, y 6.3925, z 237.469
 35297013 (1225) module 33, x -0.702499, y 5.6775, z 212.469

Track #31, length 11
 54269629 (1916) module 51, x  3.835, y 22.7275, z 751.531
 52174039 (1827) module 49, x 3.5325, y 21.2975, z 706.531
 50077936 (1754) module 47, x 3.3125, y 19.9225, z 661.531
 47897101 (1680) module 45, x 3.0375, y 18.4375, z 615.469
 45796943 (1609) module 43, x 2.3775, y 14.8075, z 496.921
 43697540 (1538) module 41, x 1.8825, y 11.8925, z 401.411
 41598895 (1462) module 39, x 1.5525, y 9.5275, z 324.463
 39500497 (1383) module 37, x 1.2775, y 7.6575, z 262.469
 37402847 (1304) module 35, x 1.1675, y 6.8875, z 237.469
