Track #0, length 13
 43695487 (2332) module 41, x 1.4425, y 12.1675, z 401.411
 41597352 (2220) module 39, x 1.2225, y 9.9125, z 324.463
 39499209 (2105) module 37, x 1.0025, y   8.07, z 262.469
 37401559 (1979) module 35, x 0.892498, y 7.3275, z 237.469
 35304164 (1855) module 33, x 0.837498, y  6.585, z 212.469
 33206514 (1733) module 31, x 0.727501, y 5.8425, z 187.469

Track #36, length 5
 54276597 (2881) module 51, x 2.3775, y 19.6475, z 751.531
 52087564 (2776) module 49, x 2.2125, y 18.4925, z 705.469
 49989665 (2663) module 47, x 2.0475, y 17.3375, z 660.469
 47891764 (2552) module 45, x   1.91, y 16.265, z 615.469
 45792875 (2439) module 43, x 1.4975, y  13.24, z 496.921

Track #37, length 5
 54276593 (2882) module 51, x 2.3775, y 19.8675, z 751.531
 52087561 (2777) module 49, x   2.24, y 18.6575, z 705.469
 49989662 (2664) module 47, x  2.075, y 17.5025, z 660.469
 47891764 (2552) module 45, x   1.91, y 16.265, z 615.469
 45792875 (2439) module 43, x 1.4975, y  13.24, z 496.921

Track #38, length 5
 54188737 (2883) module 51, x 3.0375, y 8.5375, z 750.469
 52090826 (2778) module 49, x 2.8725, y 8.0425, z 705.469
 49992914 (2665) module 47, x 2.7075, y  7.575, z 660.469
 47895003 (2554) module 45, x 2.5425, y 7.1075, z 615.469
 45795571 (2442) module 43, x 2.0475, y 5.7875, z 496.921

Track #39, length 4
 54190812 (2884) module 51, x 3.4775, y 7.0525, z 750.469
 52092644 (2779) module 49, x 3.2575, y 6.6125, z 705.469
 49994475 (2666) module 47, x  3.065, y 6.2275, z 660.469
 47896563 (2556) module 45, x 2.8725, y 5.7875, z 615.469

Track #40, length 10
 54267875 (2885) module 51, x 4.2475, y 20.6375, z 751.531
 52172026 (2780) module 49, x 3.9725, y 19.3725, z 706.531
 49997332 (2667) module 47, x 3.6975, y 18.0525, z 660.469
 47898923 (2557) module 45, x   3.45, y 16.7875, z 615.469
 45798759 (2443) module 43, x 2.7625, y  13.46, z 496.921
 43699096 (2333) module 41, x 2.2125, y 10.7925, z 401.411
 41599935 (2221) module 39, x 1.7725, y 8.6475, z 324.463
 39501278 (2106) module 37, x 1.4425, y 6.9425, z 262.469
 37403371 (1980) module 35, x 1.2775, y 6.2275, z 237.469
 35305719 (1856) module 33, x 1.1675, y 5.5675, z 212.469

Track #41, length 5
 53148877 (2781) module 50, x -4.9075, y -7.8775, z 738.469
 51050454 (2668) module 48, x -4.6325, y -7.3825, z 693.469
 48951775 (2559) module 46, x -4.3025, y -6.8875, z 648.469
 46853352 (2448) module 44, x -4.0275, y -6.3925, z 603.469
 44752383 (2337) module 42, x -3.2025, y -5.1275, z 484.921

Track #42, length 10
 53217457 (2782) module 50, x -4.6325, y -23.3875, z 739.531
 51120586 (2669) module 48, x -4.5775, y -22.0125, z 694.531
 49023715 (2558) module 46, x -4.5225, y -20.6375, z 649.531
 46926843 (2446) module 44, x -4.4675, y -19.29, z 604.531
 44757567 (2336) module 42, x -4.3575, y -15.6875, z 484.921
 42659955 (2225) module 40, x -4.2475, y -12.8275, z 389.411
 40562077 (2110) module 38, x  -4.11, y -10.5175, z 312.463
 38464703 (1986) module 36, x -4.0275, y -8.6475, z 250.469
 36367309 (1864) module 34, x -3.9725, y -7.8775, z 225.469
 34269914 (1744) module 32, x -3.93125, y -7.135, z 200.469

Track #43, length 12
 53222470 (2783) module 50, x -3.5325, y -29.2725, z 739.531
 51126631 (2670) module 48, x -3.22083, y -27.4208, z 694.531
 49030537 (2560) module 46, x -3.0375, y -25.5875, z 649.531
 46934443 (2449) module 44, x -2.8175, y -23.7175, z 604.531
 44748038 (2338) module 42, x -2.3225, y -18.8225, z 484.921
 42649164 (2228) module 40, x -1.9375, y -14.945, z 389.411
 40550534 (2113) module 38, x -1.6075, y -11.7825, z 312.463
 38452148 (1990) module 36, x -1.3325, y -9.225, z 250.469
 36354503 (1867) module 34, x  -1.25, y -8.2075, z 225.469
 34256858 (1747) module 32, x  -1.14, y -7.1625, z 200.469
 32159469 (1626) module 30, x -1.0575, y -6.1175, z 175.469
 30061823 (1506) module 28, x -0.947498, y -5.1275, z 150.469

Track #44, length 5
 53141937 (2784) module 50, x -3.4225, y -9.4175, z 738.469
 51043771 (2671) module 48, x -3.2025, y -8.8675, z 693.469
 48945606 (2561) module 46, x -2.9825, y -8.2625, z 648.469
 46847440 (2450) module 44, x -2.7625, y -7.7125, z 603.469
 44747756 (2340) module 42, x -2.2125, y -6.1725, z 484.921

Track #45, length 6
 53132956 (2785) module 50, x -1.4975, y -10.545, z 738.469
 51035560 (2672) module 48, x -1.4425, y -9.9125, z 693.469
 48937908 (2562) module 46, x -1.3325, y -9.2525, z 648.469
 46840255 (2451) module 44, x  -1.25, y -8.6475, z 603.469
 44742110 (2341) module 42, x -1.0025, y -6.9425, z 484.921
 42644214 (2230) module 40, x -0.837498, y -5.6225, z 389.411

Track #46, length 6
 53128361 (2786) module 50, x -0.535, y -9.8575, z 738.469
 51031220 (2674) module 48, x -0.5075, y -9.2525, z 693.469
 48934079 (2564) module 46, x -0.5075, y -8.6475, z 648.469
 46836681 (2453) module 44, x -0.452499, y  -8.07, z 603.469
 44739302 (2343) module 42, x -0.397499, y -6.5025, z 484.921
 42641916 (2232) module 40, x -0.342499, y -5.265, z 389.411

Track #47, length 4
 53118828 (2789) module 50, x 1.5275, y -13.2125, z 738.469
 51021946 (2677) module 48, x  1.445, y -12.4425, z 693.469
 48925322 (2566) module 46, x 1.3625, y -11.5625, z 648.469
 46828698 (2454) module 44, x 1.2525, y -10.6825, z 603.469

Track #48, length 4
 53115730 (2790) module 50, x 2.1875, y -14.6425, z 738.469
 51020136 (2678) module 48, x 1.8575, y -13.4325, z 693.469
 48924542 (2567) module 46, x 1.5275, y -12.2225, z 648.469
 46828437 (2455) module 44, x 1.3075, y -10.9575, z 603.469

Track #49, length 5
 53113031 (2791) module 50, x 2.7925, y -8.2075, z 738.469
 51016656 (2679) module 48, x 2.6275, y -7.7125, z 693.469
 48920281 (2568) module 46, x 2.4625, y  -7.19, z 648.469
 46823906 (2456) module 44, x 2.2975, y -6.695, z 603.469
 44729082 (2344) module 42, x 1.8025, y -5.4025, z 484.921

Track #50, length 9
 53102099 (2795) module 50, x 5.1025, y -18.1075, z 738.469
 51006503 (2682) module 48, x 4.7725, y -17.0075, z 693.469
 48910908 (2569) module 46, x 4.4425, y -15.8525, z 648.469
 46815312 (2457) module 44, x 4.1125, y -14.725, z 603.469
 44722055 (2345) module 42, x 3.2875, y -11.7275, z 484.921
 42628274 (2233) module 40, x 2.5725, y -9.3625, z 389.411
