Track #0, length 12
 37382605 (1604) module 35, x  -3.15, y   7.85, z 237.469
 35286487 (1510) module 33, x -2.93917, y 7.29083, z 212.469
 33190369 (1415) module 31, x -2.71917, y 6.74083, z 187.469
 31094251 (1325) module 29, x -2.5175, y    6.2, z 162.469
 28998133 (1230) module 27, x -2.2975, y 5.6775, z 137.469
 26902015 (1147) module 25, x -2.0775, y 5.1275, z 112.469

Track #27, length 5
 54151879 (2345) module 51, x -4.8825, y   8.18, z 750.469
 52056271 (2261) module 49, x -4.5525, y 7.7675, z 705.469
 49960407 (2175) module 47, x -4.2775, y 7.3275, z 660.469
 47864799 (2094) module 45, x -3.9475, y 6.8875, z 615.469
 45770483 (2005) module 43, x -3.3425, y 5.7875, z 496.921

Track #28, length 5
 54171596 (2346) module 51, x -0.647499, y  7.905, z 750.469
 52074453 (2262) module 49, x -0.619999, y 7.4375, z 705.469
 49977565 (2176) module 47, x -0.592499, y 6.9975, z 660.469
 47880421 (2095) module 45, x -0.592499, y 6.5575, z 615.469
 45783547 (2006) module 43, x -0.537502, y 5.3475, z 496.921

Track #29, length 8
 54171417 (2347) module 51, x -0.647499, y 17.7775, z 750.469
 52075822 (2263) module 49, x -0.290001, y 16.6225, z 705.469
 49980483 (2177) module 47, x 0.0675011, y 15.4675, z 660.469
 47884888 (2096) module 45, x 0.397499, y 14.285, z 615.469
 45791887 (2012) module 43, x 1.2775, y  11.26, z 496.921
 43698107 (1914) module 41, x 1.9925, y 8.8675, z 401.411
 41603551 (1813) module 39, x 2.5425, y 6.8875, z 324.463
 39508475 (1708) module 37, x 3.01917, y 5.32917, z 262.469

Track #30, length 6
 54177189 (2348) module 51, x 0.5625, y 10.0775, z 750.469
 52079792 (2265) module 49, x 0.5075, y 9.4725, z 705.469
 49982395 (2179) module 47, x   0.48, y 8.8675, z 660.469
 47885253 (2097) module 45, x 0.452499, y   8.29, z 615.469
 45787618 (2007) module 43, x 0.342499, y 6.7225, z 496.921
 43690233 (1911) module 41, x 0.287498, y 5.4575, z 401.411

Track #31, length 7
 54178916 (2349) module 51, x 0.947498, y 13.6525, z 750.469
 52081523 (2266) module 49, x 0.892498, y 12.8275, z 705.469
 49984130 (2180) module 47, x 0.864998, y 12.0025, z 660.469
 47886993 (2099) module 45, x 0.837498, y 11.1775, z 615.469
 45789112 (2008) module 43, x 0.672501, y 9.0325, z 496.921
 43691479 (1912) module 41, x 0.5625, y 7.3275, z 401.411
 41593840 (1811) module 39, x 0.452499, y 5.9525, z 324.463

Track #32, length 5
 54193602 (2350) module 51, x 4.0825, y 8.4825, z 750.469
 52095180 (2267) module 49, x 3.8075, y 7.9325, z 705.469
 49996757 (2181) module 47, x   3.56, y 7.4375, z 660.469
 47898591 (2100) module 45, x 3.3125, y 6.8875, z 615.469
 45798137 (2013) module 43, x 2.5975, y 5.4575, z 496.921

Track #33, length 4
 54194669 (2351) module 51, x 4.3025, y   6.09, z 750.469
 52096499 (2268) module 49, x 4.0825, y 5.7875, z 705.469
 49998329 (2182) module 47, x 3.8625, y 5.4575, z 660.469
 47900159 (2101) module 45, x 3.6425, y 5.1275, z 615.469

Track #34, length 7
 53149531 (2269) module 50, x -5.0725, y -14.1475, z 738.469
 51050860 (2183) module 48, x -4.7425, y -13.2125, z 693.469
 48951932 (2102) module 46, x -4.3575, y -12.3325, z 648.469
 46853261 (2016) module 44, x -4.0275, y -11.3975, z 603.469
 44752056 (1917) module 42, x -3.175, y -9.0325, z 484.921
 42651866 (1819) module 40, x -2.4875, y -7.135, z 389.411
 40552183 (1714) module 38, x -1.9375, y -5.5675, z 312.463

Track #35, length 6
 53144487 (2271) module 50, x -3.9725, y -9.9675, z 738.469
 51046321 (2185) module 48, x -3.7525, y -9.4175, z 693.469
 48948154 (2103) module 46, x -3.5325, y -8.9225, z 648.469
 46849988 (2017) module 44, x  -3.34, y -8.3725, z 603.469
 44750557 (1918) module 42, x -2.8175, y -6.9975, z 484.921
 42651377 (1820) module 40, x -2.3775, y -5.8975, z 389.411

Track #36, length 6
 53136766 (2272) module 50, x -2.3225, y -12.2225, z 738.469
 51038860 (2186) module 48, x -2.1575, y -11.425, z 693.469
 48940955 (2104) module 46, x -1.9925, y -10.6275, z 648.469
 46843050 (2018) module 44, x -1.855, y -9.8025, z 603.469
 44744144 (1919) module 42, x -1.4425, y -7.7125, z 484.921
 42645487 (1821) module 40, x -1.1125, y -6.0075, z 389.411

Track #37, length 5
 53126339 (2275) module 50, x -0.0675011, y -8.4275, z 738.469
 51029196 (2189) module 48, x -0.0675011, y -7.9325, z 693.469
 48932053 (2106) module 46, x -0.0675011, y -7.4375, z 648.469
 46834910 (2021) module 44, x -0.0675011, y -6.9425, z 603.469
 44737783 (1921) module 42, x -0.0675011, y -5.5675, z 484.921

Track #38, length 12
 53240493 (2276) module 50, x 0.3175, y -23.6075, z 739.531
 51143620 (2190) module 48, x 0.3725, y -22.3425, z 694.531
 49045981 (2107) module 46, x   0.29, y -20.9675, z 649.531
 46948853 (2022) module 44, x 0.2625, y -19.6475, z 604.531
 44735798 (1922) module 42, x 0.317501, y -16.1825, z 484.921
 42638698 (1822) module 40, x 0.317501, y -13.3225, z 389.411
 40541843 (1715) module 38, x 0.262501, y -11.0675, z 312.463
 38444471 (1618) module 36, x 0.317501, y -9.0875, z 250.469
 36347334 (1522) module 34, x 0.317501, y -8.2625, z 225.469
 34250453 (1427) module 32, x 0.262501, y -7.4375, z 200.469
 32153572 (1335) module 30, x 0.2075, y -6.6125, z 175.469
 30056692 (1240) module 28, x 0.1525, y -5.7325, z 150.469

Track #39, length 5
 53116343 (2279) module 50, x 2.0775, y -9.0875, z 738.469
 51019713 (2194) module 48, x 1.9675, y -8.5375, z 693.469
 48923084 (2108) module 46, x   1.83, y -7.9325, z 648.469
 46826711 (2023) module 44, x 1.6925, y -7.3275, z 603.469
 44731123 (1923) module 42, x 1.3625, y -5.7875, z 484.921

Track #40, length 7
 53100848 (2282) module 50, x 5.3775, y -16.5125, z 738.469
 51005251 (2195) module 48, x 5.0475, y -15.44, z 693.469
 48909911 (2109) module 46, x 4.6625, y -14.3675, z 648.469
 46814314 (2025) module 44, x 4.3325, y -13.3225, z 603.469
 44721566 (1926) module 42, x 3.3975, y -10.4625, z 484.921
 42627782 (1824) module 40, x 2.6825, y -8.235, z 389.411
 40533479 (1716) module 38, x 2.0775, y -6.4475, z 312.463

Track #41, length 7
 53097580 (2284) module 50, x  6.065, y -13.2125, z 738.469
 51002490 (2196) module 48, x 5.6525, y -12.4425, z 693.469
 48907401 (2110) module 46, x 5.2125, y -11.6175, z 648.469
 46812055 (2027) module 44, x 4.8275, y -10.8475, z 603.469
 44719552 (1927) module 42, x 3.8375, y -8.5925, z 484.921
 42626273 (1825) module 40, x 3.0125, y -6.7775, z 389.411
 40531964 (1717) module 38, x 2.4075, y -5.2925, z 312.463

Track #42, length 5
 53269604 (2285) module 50, x 6.5875, y -27.595, z 739.531
 51169443 (2198) module 48, x 5.9275, y -24.13, z 694.531
 49069027 (2111) module 46, x   5.24, y -20.6375, z 649.531
 46813221 (2026) module 44, x 4.5525, y -17.1175, z 603.469
 44724166 (1925) module 42, x 2.8475, y -8.235, z 484.921

Track #43, length 6
