Track #0, length 13
 50342763 (1445) module 48, x 13.2675, y -2.7075, z 694.531
 48246651 (1371) module 46, x 12.3875, y -2.4875, z 649.531
 46150284 (1294) module 44, x 11.4525, y -2.3225, z 604.531
 44055223 (1222) module 42, x 9.0875, y -1.855, z 485.982
 41960155 (1154) module 40, x 7.1075, y -1.4425, z 390.473
 39864312 (1080) module 38, x 5.5125, y  -1.14, z 313.525

Track #51, length 8
 52561224 (1518) module 50, x 15.1558, y 23.6192, z 739.531
 50456922 (1446) module 48, x 14.2025, y 21.9325, z 694.531
 48351851 (1372) module 46, x 13.2675, y 20.2275, z 649.531
 46246781 (1296) module 44, x 12.2775, y  18.55, z 604.531
 44129194 (1224) module 42, x 9.8025, y  14.15, z 485.982
 42015949 (1157) module 40, x   7.85, y 10.6575, z 390.473
 39906283 (1083) module 38, x 6.2275, y   7.88, z 313.525
 37419007 (1013) module 35, x   4.66, y 5.1275, z 237.469

Track #52, length 7
 52479776 (1519) module 50, x 17.3925, y 5.8725, z 739.531
 50380853 (1447) module 48, x 16.2375, y 5.4875, z 694.531
 48281929 (1373) module 46, x  15.11, y 5.1025, z 649.531
 46183006 (1297) module 44, x 13.9825, y  4.745, z 604.531
 44081300 (1226) module 42, x 10.985, y 3.7275, z 485.982
 41980608 (1158) module 40, x  8.565, y 2.9575, z 390.473
 39880420 (1085) module 38, x 6.6125, y 2.2975, z 313.525

Track #53, length 10
 52525838 (1520) module 50, x 18.3825, y  15.91, z 739.531
 50424354 (1448) module 48, x 17.255, y 14.9475, z 694.531
 48322615 (1375) module 46, x 16.1275, y 13.985, z 649.531
 46221131 (1299) module 44, x 15.0275, y 13.0225, z 604.531
 44112000 (1228) module 42, x 12.1125, y 10.465, z 485.982
 42005931 (1161) module 40, x 9.7475, y 8.4025, z 390.473
 39901134 (1089) module 38, x 7.8225, y 6.7525, z 313.525
 37797865 (1026) module 36, x 6.3375, y 5.4325, z 251.531
 35698420 (963) module 34, x 5.7325, y 4.9375, z 226.531
 33598719 (902) module 32, x 5.1275, y 4.3875, z 201.531

Track #54, length 8
 52483340 (1521) module 50, x 18.4925, y 6.6425, z 739.531
 50384162 (1449) module 48, x 17.2825, y 6.2025, z 694.531
 48284984 (1374) module 46, x 16.0725, y 5.7625, z 649.531
 46185806 (1298) module 44, x 14.8625, y 5.3225, z 604.531
 44083336 (1227) module 42, x 11.6725, y  4.195, z 485.982
 41982135 (1160) module 40, x 9.0875, y 3.2875, z 390.473
 39881692 (1086) module 38, x  7.025, y 2.5725, z 313.525
 37781755 (1021) module 36, x 5.3475, y 1.9675, z 251.531

Track #55, length 9
 52817392 (1522) module 50, x 19.9225, y 11.1075, z 738.469
 50403081 (1450) module 48, x 18.6575, y  10.41, z 694.531
 48302624 (1376) module 46, x 17.3925, y 9.6675, z 649.531
 46202679 (1300) module 44, x   16.1, y   8.98, z 604.531
 44096629 (1229) module 42, x 12.7175, y 7.0275, z 485.982
 41992359 (1162) module 40, x 9.9675, y 5.4875, z 390.473
 39889615 (1088) module 38, x 7.7675, y 4.2775, z 313.525
 37787887 (1023) module 36, x 6.0075, y 3.2875, z 251.531
 35688956 (960) module 34, x  5.265, y 2.9025, z 226.531

Track #56, length 11
 52881857 (1523) module 50, x 22.5075, y -2.8625, z 738.469
 50783962 (1451) module 48, x 21.1325, y -2.6975, z 693.469
 48685810 (1378) module 46, x 19.785, y -2.4775, z 648.469
 46150157 (1305) module 44, x 18.4375, y -2.3225, z 604.531
 44055374 (1232) module 42, x 14.835, y -1.8275, z 485.982
 41960067 (1165) module 40, x 11.9475, y -1.4425, z 390.473
 39864237 (1092) module 38, x   9.61, y -1.1675, z 313.525
 37768143 (1027) module 36, x   7.74, y -0.9475, z 251.531
 35671517 (964) module 34, x 6.9975, y -0.8375, z 226.531
 33574635 (903) module 32, x 6.2275, y -0.755, z 201.531
 31478009 (843) module 30, x 5.4575, y -0.6725, z 176.531

Track #57, length 6
 52817066 (1524) module 50, x 23.745, y 11.1625, z 738.469
 50723270 (1452) module 48, x 22.2325, y 10.4475, z 693.469
 48628706 (1379) module 46, x 20.6925, y   9.76, z 648.469
 46534910 (1306) module 44, x 19.1525, y  9.045, z 603.469
 44097096 (1233) module 42, x 15.1925, y 7.1375, z 485.982
