Track #0, length 12
 34229471 (1267) module 32, x 4.7725, y -6.8875, z 200.469
 32135408 (1179) module 30, x 4.1125, y -5.9525, z 175.469

Track #41, length 9
 53036698 (1974) module 50, x 19.2925, y -10.6825, z 738.469
 50945190 (1914) module 48, x 18.0825, y -10.0225, z 693.469
 48853681 (1850) module 46, x 16.845, y -9.4175, z 648.469
 46762173 (1785) module 44, x 15.6625, y -8.7575, z 603.469
 44679645 (1706) module 42, x 12.5275, y -6.9975, z 484.921
 42594294 (1619) module 40, x 9.9975, y -5.6225, z 389.411
 39848906 (1532) module 38, x  8.015, y -4.4675, z 313.525
 37755880 (1442) module 36, x 6.3925, y -3.5875, z 251.531
 35660532 (1359) module 34, x 5.7325, y -3.2025, z 226.531

Track #42, length 10
 52858568 (1975) module 50, x 22.1225, y 2.1425, z 738.469
 50761954 (1915) module 48, x 20.6925, y  2.005, z 693.469
 48665595 (1851) module 46, x  19.29, y 1.8675, z 648.469
 46168854 (1786) module 44, x 17.915, y   1.72, z 604.531
 44070234 (1708) module 42, x 14.2025, y 1.3625, z 485.982
 41971601 (1620) module 40, x 11.1775, y 1.0325, z 390.473
 39873469 (1533) module 38, x 8.7575, y 0.8125, z 313.525
 37775584 (1443) module 36, x 6.8325, y 0.6475, z 251.531
 35677934 (1360) module 34, x 6.0625, y 0.5375, z 226.531
 33580541 (1268) module 32, x 5.2375, y 0.4825, z 201.531

Track #43, length 11
 52871487 (1976) module 50, x 29.6575, y -0.662498, z 738.469
 50774114 (1917) module 48, x 27.7325, y -0.607498, z 693.469
 48676740 (1853) module 46, x 25.8625, y -0.552498, z 648.469
 46579367 (1788) module 44, x 23.9375, y -0.497498, z 603.469
 44061955 (1709) module 42, x 18.9875, y -0.3975, z 485.982
 41965388 (1623) module 40, x 14.9725, y -0.2875, z 390.473
 39868551 (1535) module 38, x 11.7275, y -0.2325, z 313.525
 37771702 (1445) module 36, x  9.115, y -0.1775, z 251.531
 35674569 (1362) module 34, x   8.07, y -0.1775, z 226.531
 33577693 (1270) module 32, x 6.9975, y -0.1225, z 201.531
 31480560 (1182) module 30, x 5.9525, y -0.1225, z 176.531

Track #44, length 13
 52805388 (1977) module 50, x 32.4625, y  13.61, z 738.469
 50712368 (1918) module 48, x 30.4825, y 12.7575, z 693.469
 48619092 (1855) module 46, x 28.475, y 11.9325, z 648.469
 46525817 (1790) module 44, x 26.4675, y 11.1075, z 603.469
 44438488 (1711) module 42, x 21.215, y 8.9075, z 484.921
 41999911 (1625) module 40, x 17.0075, y 7.1375, z 390.473
 39896165 (1537) module 38, x 13.5975, y 5.7075, z 313.525
 37793688 (1447) module 36, x 10.7925, y 4.5525, z 251.531
 35694252 (1365) module 34, x 9.6925, y  4.085, z 226.531
 33595072 (1273) module 32, x  8.565, y 3.6175, z 201.531
 31495637 (1184) module 30, x 7.4375, y 3.1225, z 176.531
 29396201 (1102) module 28, x 6.31917, y 2.66417, z 151.531
 27297022 (1018) module 26, x 5.1825, y 2.1875, z 126.531

Track #45, length 13
 52960869 (1979) module 50, x 35.6825, y -13.5975, z 738.469
 50873715 (1920) module 48, x 33.5375, y -12.8275, z 693.469
 48786561 (1857) module 46, x 31.3925, y -12.0575, z 648.469
 46699408 (1792) module 44, x 29.2475, y -11.2325, z 603.469
 44628406 (1713) module 42, x  23.61, y -9.1425, z 484.921
 42552022 (1627) module 40, x 19.0725, y -7.3825, z 389.411
 40471791 (1539) module 38, x 15.415, y -6.0075, z 312.463
 37749625 (1451) module 36, x 12.4975, y -4.9075, z 251.531
 35654542 (1367) module 34, x 11.3425, y -4.4675, z 226.531
 33559460 (1276) module 32, x 10.1325, y -4.0275, z 201.531
 31464633 (1187) module 30, x 8.9775, y -3.5325, z 176.531
 29369551 (1104) module 28, x 7.7675, y -3.0925, z 151.531
 27274212 (1021) module 26, x 6.57583, y -2.67083, z 126.531

Track #46, length 10
 54054642 (1985) module 51, x -26.0025, y 5.8425, z 750.469
 51965176 (1927) module 49, x -24.3525, y 5.5125, z 705.469
 49875199 (1868) module 47, x -22.7025, y 5.1275, z 660.469
 45094443 (1735) module 43, x -16.7875, y  3.835, z 497.982
 43000938 (1656) module 41, x -13.3225, y  3.065, z 402.473
 40906909 (1575) module 39, x -10.5175, y 2.4325, z 325.525
 38812101 (1495) module 37, x  -8.29, y 1.9375, z 263.531
 36715990 (1412) module 35, x -7.3825, y 1.7175, z 238.531
