Track #0, length 7
 42656911 (1964) module 40, x -3.60583, y -11.2508, z 389.411
 40555963 (1858) module 38, x -2.7625, y -8.8675, z 312.463
 38455263 (1744) module 36, x -1.9925, y  -6.86, z 250.469

Track #24, length 9
 53610469 (2548) module 51, x -6.5575, y -23.6925, z 751.531
 51506413 (2459) module 49, x -6.1175, y -22.125, z 706.531
 49401845 (2359) module 47, x -5.6775, y -20.53, z 661.531
 47297533 (2255) module 45, x -5.2375, y -18.9625, z 616.531
 44755800 (2069) module 42, x -3.9725, y -14.3125, z 484.921
 42654357 (1966) module 40, x -3.0375, y -10.9575, z 389.411
 40553670 (1860) module 38, x -2.2675, y -8.2625, z 312.463
 38453742 (1746) module 36, x -1.6625, y -6.0625, z 250.469
 36355582 (1639) module 34, x -1.4425, y -5.1825, z 225.469

Track #25, length 7
 53563366 (2549) module 51, x -6.5025, y -13.4625, z 751.531
 51462637 (2458) module 49, x -6.1175, y -12.6925, z 706.531
 49361651 (2358) module 47, x  -5.76, y -11.8675, z 661.531
 47260922 (2254) module 45, x -5.4025, y -11.0975, z 616.531
 44757437 (2068) module 42, x -4.3025, y  -8.73, z 484.921
 42656476 (1965) module 40, x -3.4775, y -7.025, z 389.411
 40556277 (1857) module 38, x -2.8175, y  -5.65, z 312.463

Track #26, length 6
 54145448 (2550) module 51, x -6.2575, y 9.9125, z 750.469
 52050099 (2460) module 49, x -5.845, y 9.3075, z 705.469
 49955006 (2360) module 47, x -5.4325, y 8.7025, z 660.469
 47859657 (2256) module 45, x -5.0475, y 8.0975, z 615.469
 45767142 (2158) module 43, x -4.0575, y 6.5025, z 496.921
 43673853 (2053) module 41, x -3.2325, y   5.21, z 401.411

Track #27, length 6
 54149820 (2554) module 51, x -5.3225, y 8.8125, z 750.469
 52054213 (2463) module 49, x -4.9925, y 8.3175, z 705.469
 49958349 (2361) module 47, x -4.7175, y 7.8775, z 660.469
 47862486 (2257) module 45, x -4.415, y 7.3825, z 615.469
 45768941 (2159) module 43, x -3.645, y 6.1175, z 496.921
 43673853 (2053) module 41, x -3.2325, y   5.21, z 401.411

Track #28, length 5
 54155173 (2559) module 51, x -4.1675, y 10.0775, z 750.469
 52064694 (2468) module 49, x  -2.71, y 9.1425, z 705.469
 49974471 (2369) module 47, x -1.2525, y 8.2075, z 660.469
 47884247 (2271) module 45, x 0.232498, y 7.3275, z 615.469
 41979091 (1985) module 40, x 7.5475, y 2.6275, z 390.473

Track #29, length 4
 54155740 (2560) module 51, x -4.0575, y 7.0525, z 750.469
 52059620 (2464) module 49, x -3.8375, y 6.6125, z 705.469
 49963756 (2362) module 47, x -3.5625, y 6.1725, z 660.469
 47867636 (2259) module 45, x -3.3425, y 5.7325, z 615.469

Track #30, length 7
 54156137 (2561) module 51, x -3.9475, y 13.3775, z 750.469
 52060023 (2465) module 49, x -3.7275, y 12.6075, z 705.469
 49963910 (2363) module 47, x -3.5075, y 11.7825, z 660.469
 47868052 (2260) module 45, x -3.2325, y 11.0125, z 615.469
 45773498 (2160) module 43, x -2.655, y 8.9225, z 496.921
 43678680 (2054) module 41, x -2.16917, y 7.25417, z 401.411
 41583345 (1946) module 39, x -1.775, y 5.8975, z 324.463

Track #31, length 7
 54304923 (2562) module 51, x -3.7275, y 24.5975, z 751.531
 52205501 (2466) module 49, x  -3.26, y 22.7275, z 706.531
 50106334 (2366) module 47, x -2.7925, y 20.885, z 661.531
 47872259 (2263) module 45, x -2.2975, y 18.9875, z 615.469
 45780828 (2164) module 43, x -1.0875, y 14.0925, z 496.921
 43688356 (2059) module 41, x -0.0974998, y 10.1325, z 401.411
 41594845 (1950) module 39, x 0.672501, y   6.97, z 324.463

Track #32, length 7
 54158904 (2563) module 51, x -3.315, y 16.0725, z 750.469
 52062795 (2467) module 49, x -3.1225, y 15.0275, z 705.469
 49966686 (2364) module 47, x -2.9025, y 13.9825, z 660.469
 47870577 (2262) module 45, x -2.6825, y  12.91, z 615.469
 45776036 (2161) module 43, x -2.105, y 10.1325, z 496.921
 43681229 (2055) module 41, x -1.6375, y 7.8775, z 401.411
 41585645 (1947) module 39, x  -1.28, y 6.1175, z 324.463

Track #33, length 4
 54161897 (2564) module 51, x  -2.71, y 6.3375, z 750.469
 52065520 (2469) module 49, x -2.5725, y 5.9525, z 705.469
 49969143 (2367) module 47, x -2.4075, y 5.5675, z 660.469
 47872766 (2264) module 45, x -2.2425, y 5.1825, z 615.469

Track #34, length 6
